store, upc_plu, unit_size, description, sale_time, sale_time_zone, price_type, price_priority, price_multiple, unit_multiple, unit_price, units_sold, total_sale
SP1,80000000001016,1LB,ZUCCHINI,1769472000000,US/Eastern,REG,1,0.00,0.0,1.49,2.3400,3.4866
SP1,80000000001017,EACH,RED BELL PEPPERS,1769472000000,US/Eastern,AD,2,7.45,5.0,1.49,5.00,7.45
SP1,80000000001018,EACH,GREEN BELL PEPPERS,1769472000000,US/Eastern,AD,2,4.95,5.0,0.99,5.00,4.95
SP1,80000000001019,1LB,YELLOW ONIONS,1769472000000,US/Eastern,REG,1,0.00,0.0,0.99,5.4700,5.4153
SP1,80000000001020,1LB,RED ONIONS,1769472000000,US/Eastern,REG,1,0.00,0.0,1.29,3.8900,5.0181
SP1,80000000001022,1LB,SWEET POTATOES,1769472000000,US/Eastern,REG,1,0.00,0.0,1.49,4.5600,6.7944
SP1,80000000001029,1LB,RED GRAPES SEEDLESS,1769472000000,US/Eastern,AD,2,0.00,0.0,2.99,4.3200,12.9168
SP1,80000000001030,1LB,GREEN GRAPES SEEDLESS,1769472000000,US/Eastern,REG,1,0.00,0.0,3.99,2.1500,8.5785
SP1,80000000001031,1LB,FUJI APPLES,1769472000000,US/Eastern,REG,1,0.00,0.0,1.99,6.2300,12.3977
SP1,80000000001032,1LB,GALA APPLES,1769472000000,US/Eastern,REG,1,0.00,0.0,1.79,4.8900,8.7531
SP1,80000000001033,1LB,GRANNY SMITH APPLES,1769472000000,US/Eastern,REG,1,0.00,0.0,1.89,3.6700,6.9363
SP1,80000000001034,1CT,NAVEL ORANGES,1769472000000,US/Eastern,REG,1,7.11,9.0,0.79,9.00,7.11
SP1,80000000001035,3LB,MANDARIN ORANGES,1769472000000,US/Eastern,REG,1,5.99,1.0,5.99,1.00,5.99
SP1,80000000001036,1CT,LEMONS,1769472000000,US/Eastern,REG,1,4.13,7.0,0.59,7.00,4.13
SP1,80000000001037,1CT,LIMES,1769472000000,US/Eastern,REG,1,2.94,6.0,0.49,6.00,2.94
SP1,80000000001038,EACH,PINEAPPLE FRESH,1769472000000,US/Eastern,REG,1,7.98,2.0,3.99,2.00,7.98
SP1,80000000001040,1LB,BARTLETT PEARS,1769472000000,US/Eastern,REG,1,0.00,0.0,1.99,3.4500,6.8655
SP1,80000000001042,1LB,ASPARAGUS,1769472000000,US/Eastern,REG,1,0.00,0.0,4.99,1.8900,9.4311
SP1,80000000001043,1LB,BRUSSELS SPROUTS,1769472000000,US/Eastern,REG,1,0.00,0.0,3.99,1.2300,4.9077
SP1,80000000001044,1CT,FRESH CILANTRO,1769472000000,US/Eastern,REG,1,2.97,3.0,0.99,3.00,2.97
SP1,80000000001045,1CT,FRESH PARSLEY,1769472000000,US/Eastern,REG,1,0.99,1.0,0.99,1.00,0.99
SP1,80000000001046,1CT,FRESH BASIL,1769472000000,US/Eastern,REG,1,2.49,1.0,2.49,1.00,2.49
SP1,80000000001048,1CT,CELERY,1769472000000,US/Eastern,REG,1,5.97,3.0,1.99,3.00,5.97
SP1,80000000001049,EACH,ENGLISH CUCUMBER,1769472000000,US/Eastern,REG,1,7.16,4.0,1.79,4.00,7.16
SP1,80000000001050,1LB,SLICING TOMATOES,1769472000000,US/Eastern,REG,1,0.00,0.0,1.99,7.8900,15.7011
SP1,80000000001051,1LB,PEACHES,1769472000000,US/Eastern,REG,1,0.00,0.0,2.99,2.4500,7.3255
SP1,80000000001052,1LB,NECTARINES,1769472000000,US/Eastern,REG,1,0.00,0.0,2.99,1.8700,5.5913
SP1,80000000001053,1LB,PLUMS,1769472000000,US/Eastern,REG,1,0.00,0.0,2.49,1.5600,3.8844
